"date","season","year","month","holiday","weekday","workingday","weathersit","temperature","atemp","humidity","wind_speed","casual_users","registered_users","cnt","temp_range","temperature_range","recency","frequency","monetary","season_group","hour_group","humidity_group","Season Group","Hour Group","Humidity Group"
"2011-01-01","Winter","2011","January","No","Saturday","No","Mist","0.344167","0.363625","0.805833","0.160446","331","654","985","Dingin","Cold","730","1","985","","Night","High Humidity","","Night","High Humidity"
"2011-01-02","Winter","2011","January","No","Sunday","No","Mist","0.363478","0.353739","0.696087","0.248539","131","670","801","Dingin","Cold","729","1","801","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-01-03","Winter","2011","January","No","Monday","Yes","Clear","0.196364","0.189405","0.437273","0.248309","120","1229","1349","Sangat Dingin","Very Cold","728","1","1349","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-01-04","Winter","2011","January","No","Tuesday","Yes","Clear","0.2","0.212122","0.590435","0.160296","108","1454","1562","Sangat Dingin","Very Cold","727","1","1562","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-01-05","Winter","2011","January","No","Wednesday","Yes","Clear","0.226957","0.22927","0.436957","0.1869","82","1518","1600","Dingin","Cold","726","1","1600","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-01-06","Winter","2011","January","No","Thursday","Yes","Clear","0.204348","0.233209","0.518261","0.0895652","88","1518","1606","Dingin","Cold","725","1","1606","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-01-07","Winter","2011","January","No","Friday","Yes","Mist","0.196522","0.208839","0.498696","0.168726","148","1362","1510","Sangat Dingin","Very Cold","724","1","1510","","Night","Moderate Humidity","","Morning","Moderate Humidity"
"2011-01-08","Winter","2011","January","No","Saturday","No","Mist","0.165","0.162254","0.535833","0.266804","68","891","959","Sangat Dingin","Very Cold","723","1","959","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-01-09","Winter","2011","January","No","Sunday","No","Clear","0.138333","0.116175","0.434167","0.36195","54","768","822","Sangat Dingin","Very Cold","722","1","822","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-01-10","Winter","2011","January","No","Monday","Yes","Clear","0.150833","0.150888","0.482917","0.223267","41","1280","1321","Sangat Dingin","Very Cold","721","1","1321","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-01-11","Winter","2011","January","No","Tuesday","Yes","Mist","0.169091","0.191464","0.686364","0.122132","43","1220","1263","Sangat Dingin","Very Cold","720","1","1263","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-01-12","Winter","2011","January","No","Wednesday","Yes","Clear","0.172727","0.160473","0.599545","0.304627","25","1137","1162","Sangat Dingin","Very Cold","719","1","1162","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-01-13","Winter","2011","January","No","Thursday","Yes","Clear","0.165","0.150883","0.470417","0.301","38","1368","1406","Sangat Dingin","Very Cold","718","1","1406","","Morning","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-01-14","Winter","2011","January","No","Friday","Yes","Clear","0.16087","0.188413","0.537826","0.126548","54","1367","1421","Sangat Dingin","Very Cold","717","1","1421","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-01-15","Winter","2011","January","No","Saturday","No","Mist","0.233333","0.248112","0.49875","0.157963","222","1026","1248","Dingin","Cold","716","1","1248","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-01-16","Winter","2011","January","No","Sunday","No","Clear","0.231667","0.234217","0.48375","0.188433","251","953","1204","Dingin","Cold","715","1","1204","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-01-17","Winter","2011","January","Yes","Monday","No","Mist","0.175833","0.176771","0.5375","0.194017","117","883","1000","Sangat Dingin","Very Cold","714","1","1000","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-01-18","Winter","2011","January","No","Tuesday","Yes","Mist","0.216667","0.232333","0.861667","0.146775","9","674","683","Dingin","Cold","713","1","683","","Afternoon","High Humidity","","Afternoon","High Humidity"
"2011-01-19","Winter","2011","January","No","Wednesday","Yes","Mist","0.292174","0.298422","0.741739","0.208317","78","1572","1650","Dingin","Cold","712","1","1650","","Afternoon","High Humidity","","Evening","High Humidity"
"2011-01-20","Winter","2011","January","No","Thursday","Yes","Mist","0.261667","0.25505","0.538333","0.195904","83","1844","1927","Dingin","Cold","711","1","1927","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-01-21","Winter","2011","January","No","Friday","Yes","Clear","0.1775","0.157833","0.457083","0.353242","75","1468","1543","Sangat Dingin","Very Cold","710","1","1543","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
